;;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC100000;Mandate of Heaven. The concept present in China throughout millennia. It is said that if the heavens anger fall on China, manifested by disasters and decadence, it is the right of the people to depose the "Son of Heaven", and bring back the balance. And even though China is under the rule of foreign dynasty this principle still holds true.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100001;The people see our rule as succesfull and prosperous, thus they consider that our Mandate of Heaven is high.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100002;Our popularity among the people isn't great but it also isn't terible, we can assume that our Mandate of Heaven is average.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100003;The rule of our celestial emperor is now seen as a disaster after a disaster, our Mandate of Heaven is low.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100004;Peoples anger is growing, we can only hope that this won't diminish our Mandate too much...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100005;When people's stomachs are full they are happy, and when they are happy they are easier to rule, thus our Mandate may only grow!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100006;Floods aren't uncommon in China but this one... is something else... People depend on the government and it's bureaucracy to maintain irrigation and control the rivers, maybe we have neglected it or maybe...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100007;China art of rule has always been unique, it's administration was often meritocratic and based on state exams, and even though it was, also, often corrupt due to insufficient founding, this time it is different, people are praising our dynasty for fair and just rule!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandate_of_heaven_change;Recent change in Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_1;High Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_2;Average Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_3;Low Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_natural_disaster;Natural Disaster in China;;;;;;;;;;;;;,,,,,,,,,,,,
